Date;CutFlowers;PotOwn;PotPurchased;Wholesale;FruitsVegs;Commodity;mean_temp;mean_humid;mean_prec_height_mm;total_prec_height_mm;mean_prec_flag;total_prec_flag;mean_sun_dur_min;total_sun_dur_h;public_holiday;school_holiday
2017-02-26;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;6,1083333333;61,0416666667;0,0000000000;0,0000000000;0,0833333333;True;16,1666666667;6,4666666667;no;no
2017-02-27;345,4000000000;51,1000000000;20,0000000000;83,0300000000;6,8000000000;41,2900000000;9,2666666667;57,4583333333;0,0000000000;0,0000000000;0,0000000000;False;19,8333333333;7,9333333333;no;winterferien
2017-02-28;230,8000000000;46,2000000000;0,0000000000;0,0000000000;9,9000000000;11,9900000000;5,7666666667;82,2083333333;0,2375000000;5,7000000000;0,5833333333;True;2,4444444444;0,9777777778;no;winterferien
2017-03-01;158,6000000000;55,6000000000;0,0000000000;0,0000000000;7,6000000000;69,9500000000;5,8541666667;76,3333333333;0,0250000000;0,6000000000;0,6666666667;True;4,1111111111;1,6444444444;no;winterferien
2017-03-02;119,6000000000;14,3000000000;0,0000000000;429,0300000000;12,5600000000;9,7500000000;7,8708333333;62,1666666667;0,0041666667;0,1000000000;0,2500000000;True;17,1666666667;6,8666666667;no;winterferien
2017-03-03;180,0000000000;97,2000000000;61,5000000000;0,0000000000;18,2800000000;137,6500000000;4,9166666667;68,8333333333;0,0000000000;0,0000000000;0,0000000000;False;6,3888888889;2,5555555556;no;winterferien
2017-03-04;326,6000000000;154,3000000000;10,0000000000;0,0000000000;4,8000000000;71,7500000000;7,6333333333;68,0833333333;0,0041666667;0,1000000000;0,0833333333;True;21,2777777778;8,5111111111;no;winterferien
2017-03-05;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;8,1000000000;67,5833333333;0,0083333333;0,2000000000;0,3750000000;True;7,3888888889;2,9555555556;no;no
2017-03-06;219,2000000000;33,6000000000;46,2000000000;316,9300000000;14,5000000000;72,2000000000;4,9708333333;89,7500000000;0,1958333333;4,7000000000;0,8333333333;True;0,1111111111;0,0444444444;no;no
2017-03-07;144,3000000000;192,2000000000;15,8000000000;0,0000000000;10,4000000000;102,4500000000;4,6125000000;91,5833333333;0,3250000000;7,8000000000;0,7500000000;True;0,9444444444;0,3777777778;no;no
2017-03-08;706,0000000000;47,5000000000;7,0000000000;0,0000000000;16,5500000000;19,5800000000;4,5166666667;88,4583333333;0,2291666667;5,5000000000;0,3333333333;True;1,0555555556;0,4222222222;no;no
2017-03-09;94,2000000000;43,3000000000;14,9000000000;248,5800000000;24,8100000000;21,3000000000;8,0958333333;91,0000000000;0,1500000000;3,6000000000;0,4166666667;True;0,2777777778;0,1111111111;no;no
2017-03-10;378,0000000000;113,9000000000;22,2000000000;0,0000000000;14,8000000000;63,8300000000;5,7375000000;70,2500000000;0,0083333333;0,2000000000;0,2916666667;True;15,6666666667;6,2666666667;no;no
2017-03-11;239,1000000000;79,1000000000;18,2000000000;0,0000000000;9,5000000000;100,6500000000;3,4166666667;76,8750000000;0,0000000000;0,0000000000;0,0000000000;False;19,1666666667;7,6666666667;no;no
2017-03-12;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;3,8500000000;69,6666666667;0,0000000000;0,0000000000;0,0000000000;False;30,6111111111;12,2444444444;no;no
2017-03-13;221,7500000000;74,4000000000;11,6000000000;281,4300000000;12,2500000000;45,7000000000;3,2375000000;72,1250000000;0,0000000000;0,0000000000;0,0000000000;False;22,9444444444;9,1777777778;no;no
2017-03-14;271,2000000000;194,8000000000;43,4000000000;0,0000000000;24,1500000000;87,7000000000;4,6000000000;78,0000000000;0,0000000000;0,0000000000;0,0000000000;False;16,5000000000;6,6000000000;no;no
2017-03-15;174,9000000000;78,5000000000;8,9000000000;0,0000000000;15,9500000000;93,9400000000;5,3583333333;83,6666666667;0,0000000000;0,0000000000;0,0000000000;False;9,8888888889;3,9555555556;no;no
2017-03-16;193,8000000000;264,8000000000;82,7000000000;149,5500000000;22,4700000000;110,1000000000;6,4250000000;73,9583333333;0,0000000000;0,0000000000;0,0000000000;False;34,4444444444;13,7777777778;no;no
2017-03-17;194,2000000000;200,6000000000;6,0000000000;0,0000000000;16,7500000000;101,4000000000;7,1041666667;72,3750000000;0,0000000000;0,0000000000;0,0000000000;False;11,7222222222;4,6888888889;no;no
2017-03-18;171,8000000000;71,7000000000;18,9000000000;0,0000000000;6,0500000000;43,8000000000;7,9875000000;87,0416666667;0,5291666667;12,7000000000;0,8333333333;True;0,0000000000;0,0000000000;no;no
2017-03-19;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;9,9250000000;90,6666666667;0,3250000000;7,8000000000;0,7083333333;True;0,0000000000;0,0000000000;no;no
2017-03-20;786,8000000000;91,4000000000;6,9000000000;196,0300000000;12,9500000000;18,8900000000;11,0583333333;70,6250000000;0,0000000000;0,0000000000;0,0000000000;False;1,9444444444;0,7777777778;no;no
2017-03-21;327,5000000000;46,2000000000;9,0000000000;64,2100000000;4,9000000000;2,2500000000;9,3000000000;77,8333333333;0,1875000000;4,5000000000;0,5416666667;True;0,0000000000;0,0000000000;no;no
2017-03-22;240,3000000000;125,0000000000;22,7000000000;0,0000000000;16,5600000000;73,9900000000;5,7541666667;90,2500000000;0,0375000000;0,9000000000;0,5416666667;True;0,5555555556;0,2222222222;no;no
2017-03-23;282,6000000000;172,8000000000;39,5000000000;166,2000000000;15,4200000000;160,0500000000;7,6541666667;88,3750000000;0,0375000000;0,9000000000;0,2916666667;True;0,7777777778;0,3111111111;no;no
2017-03-24;401,3000000000;59,1000000000;84,3000000000;0,0000000000;11,3600000000;67,0500000000;8,3041666667;76,2500000000;0,0000000000;0,0000000000;0,0000000000;False;12,6111111111;5,0444444444;no;no
2017-03-25;186,1000000000;92,7000000000;19,7000000000;0,0000000000;5,0000000000;117,8500000000;7,3458333333;64,9166666667;0,0000000000;0,0000000000;0,0000000000;False;35,7222222222;14,2888888889;no;no
2017-03-26;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;0,0000000000;7,0833333333;60,3333333333;0,0000000000;0,0000000000;0,0000000000;False;36,6666666667;14,6666666667;no;no
2017-03-27;222,6000000000;156,1000000000;46,2000000000;372,6900000000;20,1000000000;104,4500000000;7,0375000000;59,5000000000;0,0000000000;0,0000000000;0,0000000000;False;38,7222222222;15,4888888889;no;no
2017-03-28;138,5000000000;546,4000000000;19,6000000000;0,0000000000;17,9600000000;185,7900000000;8,8625000000;64,0833333333;0,0000000000;0,0000000000;0,0000000000;False;38,5000000000;15,4000000000;no;no
2017-03-29;257,8000000000;165,7000000000;43,2000000000;0,0000000000;6,2000000000;121,0500000000;11,6541666667;68,0000000000;0,0000000000;0,0000000000;0,0000000000;False;27,4444444444;10,9777777778;no;no
2017-03-30;140,0000000000;316,2000000000;63,9000000000;279,9200000000;26,6900000000;134,5400000000;12,3500000000;71,9166666667;0,0000000000;0,0000000000;0,0000000000;False;34,0000000000;13,6000000000;no;no
2017-03-31;305,7000000000;155,0000000000;42,2000000000;0,0000000000;13,5300000000;90,3500000000;12,4791666667;69,7916666667;0,0000000000;0,0000000000;0,0000000000;False;35,5555555556;14,2222222222;no;no
2017-04-01;345,7000000000;89,1000000000;63,8000000000;50,0000000000;12,0400000000;83,2000000000;13,0416666667;66,8333333333;0,0000000000;0,0000000000;0,0000000000;False;23,6666666667;9,4666666667;no;no
2017-04-02;0,0000000000;83,3000000000;0,0000000000;47,6000000000;0,0000000000;0,0000000000;13,1541666667;73,4166666667;0,0000000000;0,0000000000;0,0416666667;True;22,0000000000;8,8000000000;no;no
2017-04-03;418,8000000000;68,8000000000;45,2000000000;313,4500000000;27,5800000000;184,0900000000;12,5958333333;69,2083333333;0,0000000000;0,0000000000;0,0000000000;False;14,3888888889;5,7555555556;no;no
2017-04-04;143,4000000000;111,3000000000;33,4000000000;0,0000000000;11,3400000000;61,0400000000;6,8500000000;78,5416666667;0,0000000000;0,0000000000;0,0000000000;False;8,6666666667;3,4666666667;no;no
2017-04-05;170,3000000000;156,6000000000;38,5000000000;0,0000000000;3,1000000000;2,2500000000;7,3750000000;71,7500000000;0,0000000000;0,0000000000;0,0000000000;False;10,3333333333;4,1333333333;no;no
2017-04-06;203,4000000000;97,8000000000;56,9000000000;114,2700000000;5,5000000000;50,6500000000;6,7208333333;60,9166666667;0,0000000000;0,0000000000;0,0833333333;True;17,7777777778;7,1111111111;no;no
2017-04-07;344,1000000000;120,4000000000;183,1000000000;0,0000000000;27,3400000000;168,6000000000;8,7833333333;67,2500000000;0,0000000000;0,0000000000;0,0000000000;False;9,2777777778;3,7111111111;no;no
2017-04-08;207,9000000000;147,9000000000;33,4000000000;0,0000000000;7,5000000000;77,7000000000;10,7791666667;74,8333333333;0,0000000000;0,0000000000;0,0000000000;False;20,2222222222;8,0888888889;no;no
